matricula,admissão,cargo,observacoes3,desc_situacao,na_compra,titulo_do_cargo,empresa,sindicato
35741,2025-04-07,COORDENADOR DE OPERACOES III,,,,,,
35774,2025-04-22,ANALISTA DADOS I,,,,,,
35722,2025-04-02,ASSISTENTE DE BPO I,,,,,,
35767,2025-04-22,DESENVOLVEDOR III,,,,,,
35701,2025-04-01,GERENTE DE SERVICOS SENIOR,,,,,,
35770,2025-04-23,ASSISTENTE DE BPO I,,,,,,
35714,2025-04-01,ANALISTA DADOS III,,,,,,
35727,2025-04-02,ENGENHEIRO DADOS II,,,,,,
35743,2025-04-08,ASSISTENTE DE BPO I,,,,,,
35782,2025-04-28,DESENVOLVEDOR III,,,,,,
35726,2025-04-02,ASSISTENTE DE BPO I,,,,,,
35769,2025-04-23,ASSISTENTE DE BPO I,,,,,,
35752,2025-04-14,ASSISTENTE DE BPO I,,,,,,
35738,2025-04-07,DESENVOLVEDOR II,,,,,,
35740,2025-04-11,AGILE MASTER,,,,,,
35702,2025-04-01,AGILE MASTER,,,,,,
35706,2025-04-10,DESENVOLVEDOR III,,,,,,
35734,2025-04-07,ANALISTA SUPORTE I,,,,,,
35747,2025-04-14,DESENVOLVEDOR III,,,,,,
35708,2025-04-01,DESENVOLVEDOR III,demitido,,,,,
35780,2025-04-25,ASSISTENTE DE BPO I,,,,,,
35720,2025-04-01,DESENVOLVEDOR III,,,,,,
35737,2025-04-07,TECH RECRUITER II,,,,,,
35704,2025-04-01,ENGENHEIRO DADOS ESP. II,,,,,,
35748,2025-04-10,ARQUITETO DADOS II,,,,,,
35781,2025-04-28,ASSISTENTE PMO,,,,,,
35773,2025-04-22,ANALISTA DADOS I,,,,,,
35724,2025-04-02,ASSISTENTE DE BPO I,,,,,,
35746,2025-04-09,ASSISTENTE DE BPO I,,,,,,
35763,2025-04-17,ASSISTENTE DE BPO I,,,,,,
35756,2025-04-17,ASSISTENTE DE BPO I,,,,,,
35758,2025-04-16,ASSISTENTE DE BPO I,,,,,,
35718,2025-04-01,TECH RECRUITER II,,,,,,
35730,2025-04-03,ASSISTENTE DE BPO I,,,,,,
35745,2025-04-14,AGILE COACH II,,,,,,
35699,2025-04-01,ASSISTENTE DE BPO I,demitido,,,,,
35710,2025-04-01,DESENVOLVEDOR III,,,,,,
35736,2025-04-07,ARQUITETO INFRAESTRUTURA TI II,,,,,,
35776,2025-04-23,ASSISTENTE DE BPO I,,,,,,
35750,2025-04-14,ANALISTA QUAL. SOFTWARE I,,,,,,
35728,2025-04-03,ASSISTENTE DE BPO I,,,,,,
35733,2025-04-07,ANALISTA SUPORTE I,,,,,,
35766,2025-04-22,DESENVOLVEDOR II,,,,,,
35739,2025-04-08,DESENVOLVEDOR III,,,,,,
35705,2025-04-07,CONS. FUNCIONAL SAP III,,,,,,
35754,2025-04-14,DESENVOLVEDOR III,,,,,,
35742,2025-04-08,SDR II,,,,,,
35772,2025-04-22,ASSISTENTE DE BPO I,,,,,,
35721,2025-04-01,ASSISTENTE DE BPO I,,,,,,
35759,2025-04-16,ASSISTENTE DE BPO I,,,,,,
35760,2025-04-15,ASSISTENTE DE BPO I,,,,,,
35723,2025-04-02,ASSISTENTE DE BPO I,,,,,,
35707,2025-04-01,AGILE MASTER,,,,,,
35749,2025-04-10,DESENVOLVEDOR III,,,,,,
35713,2025-04-02,ASSISTENTE DE BPO I,,,,,,
35753,2025-04-16,COORDENADOR DE OPERACOES III,,,,,,
35717,2025-04-01,DESENVOLVEDOR III,,,,,,
35716,2025-04-01,ESTAGIARIO,não recebe VR,,,,,
35768,2025-04-22,CONS. ESP. FUNCIONAL SAP,,,,,,
35777,2025-04-23,ASSISTENTE DE BPO I,,,,,,
35725,2025-04-02,DESENVOLVEDOR III,,,,,,
35771,2025-04-23,ASSISTENTE DE BPO I,,,,,,
35715,2025-04-01,ESTAGIARIO,não recebe VR,,,,,
35783,2025-04-25,ASSISTENTE DE BPO I,,,,,,
35700,2025-04-01,ASSISTENTE DE BPO I,,,,,,
35732,2025-04-16,DESENVOLVEDOR III,,,,,,
35719,2025-04-01,ESTAGIARIO,não recebe VR,,,,,
35709,2025-04-02,ASSISTENTE DE BPO I,,,,,,
35755,2025-04-15,DESENVOLVEDOR III,demitido,,,,,
35712,2025-04-01,TECH RECRUITER II,,,,,,
35778,2025-04-24,PRODUCT MANAGER II,,,,,,
35761,2025-04-17,ASSISTENTE DE BPO I,,,,,,
35762,2025-04-16,CONS. FUNCIONAL SAP III,,,,,,
35775,2025-04-24,DESIGNER UX/UI II,,,,,,
35764,2025-04-17,ARQUITETO SOLUCOES III,,,,,,
35731,2025-04-03,DESIGNER UX/UI II,,,,,,
35729,2025-04-03,DESENVOLVEDOR III,,,,,,
35703,2025-04-01,ANALISTA DADOS III,,,,,,
35711,2025-04-01,ASSISTENTE DE BPO I,,,,,,
35779,2025-04-28,DESENVOLVEDOR III,,,,,,
35744,2025-04-08,DESENVOLVEDOR II,,,,,,
35765,2025-04-22,ANALISTA DEVSECOPS III,,,,,,
35751,2025-04-11,ANALISTA DADOS II,,,,,,
32572,,,,Licença Maternidade,,,,
25961,,,,Licença Maternidade,,,,
21151,,,,Auxílio Doença,,,,
25857,,,,Auxílio Doença,,,,
31326,,,,Licença Maternidade,,,,
32930,,,,Licença Maternidade,,,,
30515,,,retorno de férias + licença em 11/06,Licença Maternidade,30515.0,,,
34526,,,retorno de férias + licença em 12/06,Licença Maternidade,34526.0,,,
34357,,,,Licença Maternidade,,,,
34539,,,retorno da licença em 04/06,Licença Maternidade,34539.0,,,
34330,,,,Auxílio Doença,,,,
30264,,,,Licença Maternidade,,,,
32345,,,retorno de férias + licença em 26/05,Licença Maternidade,32345.0,,,
30200,,,,Licença Maternidade,,,,
34867,,,,Auxílio Doença,,,,
34986,,,,Auxílio Doença,,,,
34731,,,,Auxílio Doença,,,,
34901,,,,Auxílio Doença,,,,
33106,,,retorno da licença em 05/06,Licença Maternidade,33106.0,,,
25233,,,,Auxílio Doença,,,,
34383,,,,,,APRENDIZ,,
34404,,,,,,APRENDIZ,,
35086,,,,,,APRENDIZ,,
34396,,,,,,APRENDIZ,,
34403,,,,,,APRENDIZ,,
35640,,,,,,APRENDIZ,,
34951,,,,,,APRENDIZ TECH,,
34950,,,,,,APRENDIZ TI,,
35088,,,,,,APRENDIZ,,
35635,,,,,,APRENDIZ,,
35081,,,,,,APRENDIZ,,
35641,,,,,,APRENDIZ,,
35637,,,,,,APRENDIZ,,
35639,,,,,,APRENDIZ,,
35642,,,,,,APRENDIZ,,
35636,,,,,,APRENDIZ,,
35607,,,,,,APRENDIZ AUX  ADMINISTRATIVO,,
35366,,,,,,APRENDIZ,,
35643,,,,,,APRENDIZ,,
34392,,,,,,APRENDIZ,,
35085,,,,,,APRENDIZ,,
34398,,,,,,APRENDIZ,,
35089,,,,,,APRENDIZ,,
35644,,,,,,APRENDIZ,,
34394,,,,,,APRENDIZ,,
34953,,,,,,APRENDIZ TECH,,
35058,,,,,,APRENDIZ,,
35638,,,,,,APRENDIZ,,
34952,,,,,,APRENDIZ,,
35571,,,,,,APRENDIZ,,
35609,,,,,,APRENDIZ AUX  ADMINISTRATIVO,,
35610,,,,,,APRENDIZ AUX  ADMINISTRATIVO,,
35608,,,,,,APRENDIZ AUX  ADMINISTRATIVO,,
34941,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPD SP - SIND.TRAB.EM PROC DADOS E EMPR.EMPRESAS PROC DADOS ESTADO DE SP.
24401,,,,Trabalhando,,COORDENADOR ADMINISTRATIVO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32104,,,,Férias,,ANALISTA CONTABIL-FISCAL II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35254,,,,Trabalhando,,ANALISTA CONTABIL-FISCAL II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31731,,,,Trabalhando,,ANALISTA CONTABIL-FISCAL III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31009,,,,Trabalhando,,ANALISTA DE CONTROLADORIA I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
28979,,,,Trabalhando,,ANALISTA DE CONTROLADORIA II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
24122,,,,Trabalhando,,GERENTE CONTABIL-FISCAL,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35149,,,,Trabalhando,,ASSISTENTE CONTABIL-FISCAL,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25022,,,,Trabalhando,,COORDENADOR CONTABIL-FISCAL,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32130,,,,Trabalhando,,ANALISTA DE ADMINISTRACAO DE PESSOAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32213,,,,Trabalhando,,ANALISTA DE ADMINISTRACAO DE PESSOAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
34597,,,,Trabalhando,,ANALISTA DE ADMINISTRACAO DE PESSOAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25314,,,,Trabalhando,,ANALISTA DE ADMINISTRACAO DE PESSOAS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31868,,,,Trabalhando,,ANALISTA DE ADMINISTRACAO DE PESSOAS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26314,,,,Trabalhando,,ASSISTENTE DE ADMINISTRACAO DE PESSOAS,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32337,,,,Trabalhando,,ASSISTENTE DE ADMINISTRACAO DE PESSOAS,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33856,,,,Trabalhando,,ASSISTENTE DE ADMINISTRACAO DE PESSOAS,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33883,,,,Trabalhando,,ASSISTENTE DE ADMINISTRACAO DE PESSOAS,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33395,,,,Trabalhando,,COORDENADOR DE ADMINISTRACAO DE PESSOAS,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
28996,,,,Trabalhando,,LIDER TECNICO PLENO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35132,,,,Trabalhando,,COORDENADOR DE ATRACAO E SELECAO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32031,,,,Trabalhando,,TECH RECRUITER I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35177,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35182,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35224,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35390,,,,Trabalhando,,TECH RECRUITER II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35633,,,,Trabalhando,,TECH RECRUITER III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31795,,,,Trabalhando,,ANALISTA DE FINANCAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35136,,,,Trabalhando,,ANALISTA DE FINANCAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31269,,,,Trabalhando,,ANALISTA DE FINANCAS II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
25251,,,,Trabalhando,,ANALISTA DE FINANCAS III,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
23499,,,,Trabalhando,,COORDENADOR FINANCEIRO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26927,,,,Trabalhando,,ANALISTA DE COMPLIANCE II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33708,,,,Trabalhando,,GERENTE JURIDICO,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33595,,,,Trabalhando,,DESENVOLVEDOR DE RPA I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
35360,,,,Trabalhando,,ASSISTENTE DE COMPRAS,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
26182,,,,Trabalhando,,ANALISTA DE COMPRAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
29033,,,,Trabalhando,,ANALISTA DE COMPRAS I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31494,,,,Trabalhando,,GERENTE DE PESSOAS E PERFORMANCE,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
31963,,,,Trabalhando,,ANALISTA DE EDUCACAO CORPORATIVA I,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
32975,,,,Trabalhando,,DESIGNER UX/UI II,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
33832,,,,Trabalhando,,ASSISTENTE DE COMUNICACAO E MARKETING,1410.0,SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL
